"ProtocolID","DeviceName","TagName","DataType","DataCount","Retentive","Address","ArrayStart","ArrayEnd"
2511,"DEV001","Mole_3_count.Zero","Discrete",1,0,"DISC_RCT3.Zero",0,0
2511,"DEV001","Mole_3_count.Reset","Discrete",1,0,"DISC_RCT3.Reset",0,0
2511,"DEV001","Mole_3_count.DnDone","Discrete",1,0,"DISC_RCT3.DnDone",0,0
2511,"DEV001","MOLES_ACTIVE.ACC","Signed_int_32",1,0,"SI32_RT4.Acc",0,0
2511,"DEV001","Moles_active.Done","Discrete",1,0,"DISC_RT4.Done",0,0
2511,"DEV001","Moles_active.Zero","Discrete",1,0,"DISC_RT4.Zero",0,0
2511,"DEV001","Moles_active.Timing","Discrete",1,0,"DISC_RT4.Timing",0,0
2511,"DEV001","Moles_active.Reset","Discrete",1,0,"DISC_RT4.Reset",0,0
2511,"DEV001","Moles_active.TT","Discrete",1,0,"DISC_RT4.TT",0,0
2511,"DEV001","Moles_active.EN","Discrete",1,0,"DISC_RT4.EN",0,0
2511,"DEV001","Moles_active.DN","Discrete",1,0,"DISC_RT4.DN",0,0
2511,"DEV001","MOLE_1_TIMER.ACC","Signed_int_32",1,0,"SI32_RT5.Acc",0,0
2511,"DEV001","Mole_1_timer.Done","Discrete",1,0,"DISC_RT5.Done",0,0
2511,"DEV001","Mole_1_timer.Zero","Discrete",1,0,"DISC_RT5.Zero",0,0
2511,"DEV001","Mole_1_timer.Timing","Discrete",1,0,"DISC_RT5.Timing",0,0
2511,"DEV001","Mole_1_timer.Reset","Discrete",1,0,"DISC_RT5.Reset",0,0
2511,"DEV001","Mole_1_timer.TT","Discrete",1,0,"DISC_RT5.TT",0,0
2511,"DEV001","Mole_1_timer.EN","Discrete",1,0,"DISC_RT5.EN",0,0
2511,"DEV001","Mole_1_timer.DN","Discrete",1,0,"DISC_RT5.DN",0,0
2511,"DEV001","MOLE1_SEED_RESET.ACC","Signed_int_32",1,0,"SI32_RT6.Acc",0,0
2511,"DEV001","Mole1_seed_reset.Done","Discrete",1,0,"DISC_RT6.Done",0,0
